borough,request_month,complaint_type,complaint_count,rank_in_borough
BRONX,2026-03-01 00:00:00,HEAT/HOT WATER,287,1
BRONX,2026-03-01 00:00:00,Illegal Parking,251,2
BRONX,2026-03-01 00:00:00,Noise - Residential,160,3
BRONX,2026-03-01 00:00:00,UNSANITARY CONDITION,141,4
BRONX,2026-03-01 00:00:00,Street Condition,117,5
BRONX,2026-04-01 00:00:00,Noise - Residential,275,1
BRONX,2026-04-01 00:00:00,Illegal Parking,259,2
BRONX,2026-04-01 00:00:00,HEAT/HOT WATER,254,3
BRONX,2026-04-01 00:00:00,Noise - Street/Sidewalk,129,4
BRONX,2026-04-01 00:00:00,UNSANITARY CONDITION,116,5
BRONX,2026-05-01 00:00:00,Noise - Residential,444,1
BRONX,2026-05-01 00:00:00,Illegal Parking,302,2
BRONX,2026-05-01 00:00:00,HEAT/HOT WATER,187,3
BRONX,2026-05-01 00:00:00,Noise - Street/Sidewalk,166,4
BRONX,2026-05-01 00:00:00,Blocked Driveway,97,5
BRONX,2026-06-01 00:00:00,Illegal Parking,221,1
BRONX,2026-06-01 00:00:00,Noise - Residential,150,2
BRONX,2026-06-01 00:00:00,UNSANITARY CONDITION,124,3
BRONX,2026-06-01 00:00:00,Noise - Street/Sidewalk,121,4
BRONX,2026-06-01 00:00:00,Blocked Driveway,90,5
BRONX,2026-07-01 00:00:00,Water System,1866,1
BRONX,2026-07-01 00:00:00,PLUMBING,751,2
BRONX,2026-07-01 00:00:00,Noise - Street/Sidewalk,384,3
BRONX,2026-07-01 00:00:00,Noise - Residential,151,4
BRONX,2026-07-01 00:00:00,Illegal Parking,123,5
BRONX,2026-08-01 00:00:00,Noise - Street/Sidewalk,582,1
BRONX,2026-08-01 00:00:00,Noise - Residential,340,2
BRONX,2026-08-01 00:00:00,Illegal Parking,251,3
BRONX,2026-08-01 00:00:00,Noise - Vehicle,102,4
BRONX,2026-08-01 00:00:00,Blocked Driveway,92,5
BROOKLYN,2026-03-01 00:00:00,Illegal Parking,576,1
BROOKLYN,2026-03-01 00:00:00,HEAT/HOT WATER,246,2
BROOKLYN,2026-03-01 00:00:00,Blocked Driveway,193,3
BROOKLYN,2026-03-01 00:00:00,Noise - Residential,173,4
BROOKLYN,2026-03-01 00:00:00,Street Condition,171,5
BROOKLYN,2026-04-01 00:00:00,Illegal Parking,629,1
BROOKLYN,2026-04-01 00:00:00,Noise - Residential,333,2
BROOKLYN,2026-04-01 00:00:00,HEAT/HOT WATER,194,3
BROOKLYN,2026-04-01 00:00:00,Blocked Driveway,144,4
BROOKLYN,2026-04-01 00:00:00,Noise - Street/Sidewalk,118,5
BROOKLYN,2026-05-01 00:00:00,Illegal Parking,713,1
BROOKLYN,2026-05-01 00:00:00,Noise - Residential,556,2
BROOKLYN,2026-05-01 00:00:00,HEAT/HOT WATER,214,3
BROOKLYN,2026-05-01 00:00:00,Blocked Driveway,187,4
BROOKLYN,2026-05-01 00:00:00,Noise - Street/Sidewalk,176,5
BROOKLYN,2026-06-01 00:00:00,Illegal Parking,687,1
BROOKLYN,2026-06-01 00:00:00,Noise - Residential,198,2
BROOKLYN,2026-06-01 00:00:00,Blocked Driveway,176,3
BROOKLYN,2026-06-01 00:00:00,Street Condition,141,4
BROOKLYN,2026-06-01 00:00:00,Noise - Street/Sidewalk,140,5
BROOKLYN,2026-07-01 00:00:00,Illegal Parking,280,1
BROOKLYN,2026-07-01 00:00:00,Water System,255,2
BROOKLYN,2026-07-01 00:00:00,Noise - Residential,130,3
BROOKLYN,2026-07-01 00:00:00,UNSANITARY CONDITION,81,4
BROOKLYN,2026-07-01 00:00:00,Blocked Driveway,81,4
BROOKLYN,2026-08-01 00:00:00,Illegal Parking,557,1
BROOKLYN,2026-08-01 00:00:00,Noise - Residential,519,2
BROOKLYN,2026-08-01 00:00:00,Noise - Street/Sidewalk,388,3
BROOKLYN,2026-08-01 00:00:00,Blocked Driveway,132,4
BROOKLYN,2026-08-01 00:00:00,Noise - Commercial,77,5
MANHATTAN,2026-03-01 00:00:00,HEAT/HOT WATER,241,1
MANHATTAN,2026-03-01 00:00:00,Illegal Parking,176,2
MANHATTAN,2026-03-01 00:00:00,Noise - Residential,117,3
MANHATTAN,2026-03-01 00:00:00,Street Condition,117,3
MANHATTAN,2026-03-01 00:00:00,Encampment,88,5
MANHATTAN,2026-04-01 00:00:00,HEAT/HOT WATER,192,1
MANHATTAN,2026-04-01 00:00:00,Illegal Parking,186,2
MANHATTAN,2026-04-01 00:00:00,Noise - Residential,183,3
MANHATTAN,2026-04-01 00:00:00,Noise - Street/Sidewalk,148,4
MANHATTAN,2026-04-01 00:00:00,Encampment,95,5
MANHATTAN,2026-05-01 00:00:00,Noise - Residential,337,1
MANHATTAN,2026-05-01 00:00:00,Noise - Street/Sidewalk,222,2
MANHATTAN,2026-05-01 00:00:00,Illegal Parking,202,3
MANHATTAN,2026-05-01 00:00:00,Noise - Commercial,164,4
MANHATTAN,2026-05-01 00:00:00,HEAT/HOT WATER,159,5
MANHATTAN,2026-06-01 00:00:00,Illegal Parking,235,1
MANHATTAN,2026-06-01 00:00:00,Encampment,172,2
MANHATTAN,2026-06-01 00:00:00,Noise - Street/Sidewalk,135,3
MANHATTAN,2026-06-01 00:00:00,Noise - Residential,108,4
MANHATTAN,2026-06-01 00:00:00,UNSANITARY CONDITION,94,5
MANHATTAN,2026-07-01 00:00:00,Water System,365,1
MANHATTAN,2026-07-01 00:00:00,Noise - Street/Sidewalk,163,2
MANHATTAN,2026-07-01 00:00:00,Illegal Parking,112,3
MANHATTAN,2026-07-01 00:00:00,Noise - Residential,59,4
MANHATTAN,2026-07-01 00:00:00,UNSANITARY CONDITION,44,5
MANHATTAN,2026-08-01 00:00:00,Noise - Street/Sidewalk,310,1
